selection_ordinal,query_id,label_kind,ground_truth_siret,reliability,evidence_url,error_family
1,13231,AMBIGUOUS,,HIGH,https://www.pappers.fr/entreprise/securitas-accueil-702011172,COLOCATION_GROUPE
2,12649,MATCH_EXACT,31105112200084,HIGH,https://www.leshallesmandar.com/contact/,MULTISITE_RESOLVED_BY_EXACT_ADDRESS
3,11702,MATCH_EXACT,49791530600045,HIGH,https://api-avis-situation-sirene.insee.fr/identification/pdf/49791530600045,EXACT_NAME_ADDRESS
4,12383,MATCH_EXACT,44595007400382,HIGH,https://www.pappers.fr/entreprise/ramery-construction-445950074,GROUP_BRAND_RESOLVED_BY_SITE
5,13806,MATCH_EXACT,40133616900024,HIGH,https://www.pappers.fr/entreprise/boreale-401336169,EXACT_NAME_ADDRESS
6,fresh:AC010170,AMBIGUOUS,,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/801363227,GROUP_HEADQUARTERS_COLOCATION
7,9536,MATCH_EXACT,32509067800062,HIGH,https://bdl-promotion-bron.fr/fr/page/mentions-legales,FIRST_PARTY_EXACT
8,16023,MATCH_EXACT,48492277800010,HIGH,https://www.pappers.fr/entreprise/vente-uniquecom-484922778,COLOCATION_RESOLVED_BY_NAME
9,12206,AMBIGUOUS,,HIGH,https://www.societe.com/societe/bnp-paribas-personal-finance-542097902.html,MULTI_ENTITY_OFFICE
10,13687,MATCH_EXACT,78601858000039,HIGH,https://www.pappers.fr/entreprise/federation-du-batiment-de-loire-atlantique-786018580,EXACT_NAME_ADDRESS
11,13820,MATCH_EXACT,45402394600220,HIGH,https://www.capwestresidence.fr/pdf/tarifs-la-chapelle-sur-erdre-leinster-fr.pdf,RESIDENCE_OPERATOR_VS_OWNERS
12,13801,MATCH_EXACT,30239426700140,MEDIUM,https://all.accor.com/hotel/1394/index.fr.shtml,HOTEL_OPERATOR_VS_HR_GIE
13,9115,AMBIGUOUS,,HIGH,https://www.pappers.fr/entreprise/sandvik-mining-and-construction-france-sas-334537974,ACTIVE_HOMONYMS_COLOCATED
14,12635,MATCH_EXACT,79085782500026,HIGH,https://www.dewaflex.com/contact,MULTI_SITE_EXACT_ADDRESS
15,15763,MATCH_EXACT,79213618600022,HIGH,https://api-avis-situation-sirene.insee.fr/identification/pdf/79213618600022,LEGAL_SUCCESSOR_AFTER_CROSS_BORDER_MERGER
16,13893,MATCH_EXACT,42901934200030,HIGH,https://www.lephare.com/mentions-legales/,EXACT_NAME_ADDRESS
17,fresh:AC016534,MATCH_EXACT,34861871100058,HIGH,https://www.pappers.fr/entreprise/msd-ass-multi-services-developpement-348618711,COLOCATED_ENTITY_RESOLVED_BY_NETWORK_NAME
