query_id,current_label,recommended_kind,recommended_siret,scope_action,confidence,evidence_summary,evidence_urls
10613,MATCH_EXACT:26860086300115,MATCH_EXACT,26860086300016,CORRECT,HIGH,"Le CRM IDEF 86 ne mentionne pas le service SAEF porté par 00115; le site officiel qualifie l'adresse de siège social et le siège SIRENE est 00016. Correction de SIRET proposée, sous réserve de figer la convention siège générique.","https://idef86.fr/contact/;https://api-avis-situation-sirene.insee.fr/identification/pdf/26860086300016;https://api-avis-situation-sirene.insee.fr/identification/pdf/26860086300115"
11198,MATCH_EXACT:77567227214968,AMBIGUOUS,,CORRECT,HIGH,"Deux établissements Croix-Rouge actifs du même SIREN partagent exactement l'adresse CRM: l'école SMS 14968 et le CRFP/IRFSS 29487. Le nom CRM générique ne choisit aucun service.","https://annuaire-entreprises.data.gouv.fr/etablissement/77567227214968;https://annuaire-entreprises.data.gouv.fr/etablissement/77567227229487"
12428,MATCH_EXACT:34738457000573,AMBIGUOUS,,CORRECT,HIGH,"Les SIRET 00573 et 00664 sont actifs sous le même SIREN, à la même adresse et avec des signaux locaux identiques. Des sources externes récentes et historiques attribuent en outre différemment le rôle de magasin.","https://annuaire-entreprises.data.gouv.fr/entreprise/347384570"
12237,MATCH_EXACT:42156896500139,UNRESOLVED,,EXCLUDE_LOCAL,HIGH,"Le CRM vise 1 rue de Londres, ancien SIRET 00022 fermé; 00139 est un établissement courant au 3 rue de Londres depuis 2023. Sans date de référence CRM, le transfert ne permet pas un SIRET exact.","https://www.oxya.com/contact/france/;https://annuaire-entreprises.data.gouv.fr/etablissement/42156896500022;https://annuaire-entreprises.data.gouv.fr/etablissement/42156896500139"
12298,MATCH_EXACT:44137831200025,UNRESOLVED,,EXCLUDE_LOCAL,HIGH,"Le CRM vise 25 avenue de la Fosse aux Chênes, ancien SIRET 00017 fermé lors d'un transfert; 00025 est le siège courant au 160 boulevard de Fourmies. La requête n'a pas de date permettant ce remplacement temporel.","https://annuaire-entreprises.data.gouv.fr/etablissement/44137831200017;https://annuaire-entreprises.data.gouv.fr/etablissement/44137831200025"
15470,MATCH_EXACT:75188876900104,UNRESOLVED,,EXCLUDE_LOCAL,HIGH,"Le CRM vise le numéro 47, ancien SIRET 00062 fermé; 00104 est l'établissement courant au numéro 6. Le choix 'identité courante' n'est pas une preuve du SIRET exact visé à la date inconnue du CRM.","https://annuaire-entreprises.data.gouv.fr/etablissement/75188876900062;https://annuaire-entreprises.data.gouv.fr/etablissement/75188876900104"
fresh:AC009634,MATCH_EXACT:31148234300028,UNRESOLVED,,EXCLUDE_LOCAL,HIGH,"Le CRM vise Lyon; l'historique SIRENE local du SIREN ne contient pas d'établissement lyonnais et le label est le siège courant de Grenoble. La continuité de nom ne permet pas d'identifier un SIRET exact.","https://www.pappers.fr/entreprise/somudimec-311482343;https://annuaire-entreprises.data.gouv.fr/etablissement/31148234300028"
fresh:FR018872,MATCH_EXACT:50827119400021,AMBIGUOUS,,EXCLUDE_LOCAL,HIGH,"De nombreuses entités LEA ET LEO actives sont co-localisées au 7 place de l'Europe. Le CRM générique ne contient ni 'Grand Ouest' ni date permettant d'imposer le successeur retenu.","https://annuaire-entreprises.data.gouv.fr/entreprise/lea-et-leo-grand-ouest-508271194;https://annuaire-entreprises.data.gouv.fr/entreprise/lea-et-leo-groupe-511376089"
4692,MATCH_EXACT:13002442500600,AMBIGUOUS,,EXCLUDE_LOCAL,HIGH,"A la même adresse et sous le même SIREN se trouvent notamment Service logement HLM 00600, Résidence F. Tristan/A. Breton 00550 et Cité Jean Grémillon 00527. 'CROUS HSC' ne désigne aucun de ces services exactement.","https://annuaire-entreprises.data.gouv.fr/etablissement/13002442500600;https://annuaire-entreprises.data.gouv.fr/etablissement/13002442500550;https://annuaire-entreprises.data.gouv.fr/etablissement/13002442500527"
15253,MATCH_EXACT:78497191300438,AMBIGUOUS,,EXCLUDE_LOCAL,HIGH,"Tiers régulateur Sud 77 00438 et Foyer de vie L'Althéa 00081 sont actifs sous le même SIREN à la même adresse. 'ADAPEI 77' ne porte pas le nom du service; un annuaire externe favorise 00438 mais la scène locale reste indécidable.","https://annuaire-entreprises.data.gouv.fr/etablissement/78497191300438;https://annuaire-entreprises.data.gouv.fr/etablissement/78497191300081"
