selection_ordinal,query_id,label,validated_siret,reliability,legacy_label,pipeline_predicted_siret,pipeline_outcome,error_family,evidence_url
1,5175,MATCH_EXACT,55210698100046,HIGH,AMBIGUOUS,55210698100046,TOP1_CORRECT_REVIEWED,COLOCATED_GROUP_ENTITIES,https://www.societe.com/societe/graftech-france-s-n-c-552106981.html
2,5215,MATCH_EXACT,75328949500016,HIGH,AMBIGUOUS,75328949500016,TOP1_CORRECT_REVIEWED,GROUP_CONTEXT_IN_CRM_NAME,https://www.societe.com/societe/fp-holding-753289495.html
3,5298,MATCH_EXACT,52339010200029,HIGH,AMBIGUOUS,52339010200029,TOP1_CORRECT_REVIEWED,COLOCATED_RELATED_ENTITIES,https://www.societe.com/societe/ekoscan-523390102.html
4,5363,MATCH_EXACT,25710334100026,HIGH,AMBIGUOUS,25710334100026,TOP1_CORRECT_REVIEWED,PUBLIC_ALIAS_VS_LONG_LEGAL_NAME,https://www.georisques.gouv.fr/risques/installations/donnees/details/0025000022
5,5620,MATCH_EXACT,39081398800016,HIGH,AMBIGUOUS,39081398800016,TOP1_CORRECT_REVIEWED,COLOCATED_GROUP_ENTITIES,https://www.societe.com/societe/laboratoires-thea-390813988.html
6,5662,MATCH_EXACT,42866990700043,HIGH,AMBIGUOUS,42866990700043,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://www.societe.com/societe/hair-design-group-428669907.html
7,5768,MATCH_EXACT,33153169900121,HIGH,AMBIGUOUS,33153169900121,TOP1_CORRECT_REVIEWED,COLOCATED_UNRELATED_ENTITIES,https://annuaire-entreprises.puy-de-dome.cci.fr/entreprise/63800/cournon-d-auvergne/33153169900121/arachnee-concerts
8,5796,MATCH_EXACT,48408705100021,HIGH,AMBIGUOUS,48408705100021,TOP1_CORRECT_REVIEWED,NEAR_RELATED_LEGAL_NAME,https://entreprises.lefigaro.fr/sec-sauvestre-tanguy-et-associes-63/entreprise-484087051
9,6246,MATCH_EXACT,52150829100023,HIGH,AMBIGUOUS,52150829100023,TOP1_CORRECT_REVIEWED,MULTIPLE_SITES_AND_COLOCATED_SCI,https://www.societe.com/societe/delta-immo-521508291.html
10,6324,MATCH_EXACT,34004392600179,HIGH,MATCH_EXACT,34004392600179,TOP1_CORRECT_REVIEWED,ACCEPTOR_OVER_ABSTENTION,https://www.grenoble.cci.fr/entreprise/38170/seyssinet-pariset/34004392600179/40-30
11,6436,MATCH_EXACT,30645031300045,HIGH,AMBIGUOUS,30645031300045,TOP1_CORRECT_REVIEWED,MISALIGNED_HISTORICAL_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/30645031300045
12,6841,MATCH_EXACT,39838570800027,HIGH,AMBIGUOUS,39838570800027,TOP1_CORRECT_REVIEWED,MISALIGNED_HISTORICAL_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/39838570800027
13,6886,MATCH_EXACT,19753667500014,HIGH,MATCH_EXACT,19753667500014,TOP1_CORRECT_REVIEWED,ACCEPTOR_OVER_ABSTENTION,https://lannuaire.service-public.gouv.fr/gouvernement/09e2bb8b-cd81-4ebd-ada0-d150201968c7
14,7188,MATCH_EXACT,90000530700021,HIGH,AMBIGUOUS,90000530700021,TOP1_CORRECT_REVIEWED,COMMERCIAL_NAME_VS_LEGAL_NAME,https://annuaire-entreprises.data.gouv.fr/entreprise/alsaceterminal-swissterminal-900005307
15,7233,MATCH_EXACT,26680005100010,HIGH,AMBIGUOUS,26680005100010,TOP1_CORRECT_REVIEWED,HOSPITAL_VS_COLOCATED_EHPAD,https://annuaire-entreprises.data.gouv.fr/etablissement/26680005100010
16,7373,MATCH_EXACT,78931279000015,HIGH,AMBIGUOUS,48146271100021,TOP1_WRONG,UIMM_LEGAL_ENTITY_CONFUSION,https://uimm-alsace.fr/fr/12940708363620-mentions-legales-.html
17,7531,MATCH_EXACT,33389298200013,HIGH,AMBIGUOUS,33389298200013,TOP1_CORRECT_REVIEWED,MISALIGNED_HISTORICAL_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/33389298200013
18,7564,MATCH_EXACT,33271166200046,HIGH,AMBIGUOUS,33271166200046,TOP1_CORRECT_REVIEWED,NEAR_ADDRESS_SIBLING,https://annuaire-entreprises.data.gouv.fr/etablissement/33271166200046
19,7747,MATCH_EXACT,43227290400017,HIGH,AMBIGUOUS,43227290400017,TOP1_CORRECT_REVIEWED,MISALIGNED_HISTORICAL_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/43227290400017
20,7749,MATCH_EXACT,87895687900026,HIGH,MATCH_EXACT,81395305600047,TOP1_WRONG,MISALIGNED_WRONG_GROUND_TRUTH,https://annuaire-entreprises.data.gouv.fr/etablissement/87895687900026
21,7961,MATCH_EXACT,48981110900250,HIGH,AMBIGUOUS,48981110900250,TOP1_CORRECT_REVIEWED,HEAD_OFFICE_ADDRESS_CHANGED,https://annuaire-entreprises.data.gouv.fr/etablissement/48981110900250
22,8354,MATCH_EXACT,41412104600026,HIGH,AMBIGUOUS,41412104600026,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/41412104600026
23,8540,MATCH_EXACT,83420427300017,HIGH,AMBIGUOUS,83420427300017,TOP1_CORRECT_REVIEWED,COLOCATED_SUFFIXED_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/83420427300017
24,8617,MATCH_EXACT,82422814200298,HIGH,AMBIGUOUS,82422814200298,TOP1_CORRECT_REVIEWED,STALE_AFPA_PREDECESSOR,https://www.intercariforef.org/formations/centre-afpa-de-montceau-les-mines/organisme-10_2327.html
25,8644,MATCH_EXACT,30098459800049,HIGH,AMBIGUOUS,30098459800049,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://www.capronpodologie.com/mensions-legales
