selection_ordinal,query_id,label,validated_siret,reliability,legacy_label,pipeline_predicted_siret,pipeline_outcome,error_family,evidence_url
1,1264,MATCH_EXACT,60201069600147,HIGH,AMBIGUOUS,60201069600147,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/60201069600147
2,1401,MATCH_EXACT,26140092300320,HIGH,MATCH_EXACT,26140097200236,TOP1_WRONG,STALE_WRONG_GROUND_TRUTH,https://annuaire-entreprises.data.gouv.fr/etablissement/26140092300320
3,1739,MATCH_EXACT,49011913800025,HIGH,AMBIGUOUS,49011913800025,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://jmprestations.com/mentions-legales/
4,1772,MATCH_EXACT,80499169300016,HIGH,AMBIGUOUS,80499169300016,TOP1_CORRECT_REVIEWED,COLOCATED_RELATED_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/80499169300016
5,2036,MATCH_EXACT,40089260000026,HIGH,AMBIGUOUS,40089260000026,TOP1_CORRECT_REVIEWED,COLOCATED_RELATED_ENTITY,https://www.societe.com/societe/geemarc-telecom-sa-400892600.html
6,2413,MATCH_EXACT,66204244922034,HIGH,AMBIGUOUS,66204244922034,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://nos-agences.mabanque.bnpparibas/grand-est/meurthe-et-moselle/jarville-la-malgrange/bnp-paribas-espace-er-alsace-lorraine-3001
7,2423,MATCH_EXACT,52503152200143,HIGH,AMBIGUOUS,52503152200143,TOP1_CORRECT_REVIEWED,STALE_PREDECESSOR,https://www.pappers.fr/entreprise/fidal-525031522
8,2483,MATCH_EXACT,50760857800021,HIGH,AMBIGUOUS,50760857800021,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://www.societe.com/societe/vandis-507608578.html
9,2499,AMBIGUOUS,,MEDIUM,AMBIGUOUS,30148446500069,CORRECT_REVIEW,MULTIPLE_CONSTRUCTYS_WITHOUT_REFERENCE_DATE,https://annuaire-entreprises.data.gouv.fr/entreprise/301484465
10,2525,MATCH_EXACT,41871093500036,HIGH,AMBIGUOUS,41871093500036,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/41871093500036
11,2682,MATCH_EXACT,44275189700061,HIGH,AMBIGUOUS,44275189700061,TOP1_CORRECT_REVIEWED,COLOCATED_FINANCIAL_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/44275189700061
12,2999,MATCH_EXACT,78886354600016,HIGH,AMBIGUOUS,78886354600016,TOP1_CORRECT_REVIEWED,NEAR_HOMONYM,https://annuaire-entreprises.data.gouv.fr/entreprise/agence-olivier-agence-olivier-788863546
13,3201,MATCH_EXACT,26740006700018,HIGH,AMBIGUOUS,26740006700018,TOP1_CORRECT_REVIEWED,COLOCATED_ACCOUNTING_ESTABLISHMENT,https://annuaire-entreprises.data.gouv.fr/etablissement/26740006700018
14,3381,MATCH_EXACT,30023144600018,HIGH,AMBIGUOUS,30023144600018,TOP1_CORRECT_REVIEWED,COLOCATED_UNRELATED_ENTITIES,https://annuaire-entreprises.data.gouv.fr/etablissement/30023144600018
15,3481,MATCH_EXACT,44275189700087,HIGH,AMBIGUOUS,44275189700087,TOP1_CORRECT_REVIEWED,COLOCATED_FINANCIAL_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/44275189700087
16,3673,MATCH_EXACT,42007266200018,HIGH,AMBIGUOUS,42007266200018,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/42007266200018
17,4598,MATCH_EXACT,32506104200025,HIGH,AMBIGUOUS,32506104200025,TOP1_CORRECT_REVIEWED,COLOCATED_SISTER_COMPANIES,https://satcoms.fr/mentions-legales/
18,4655,MATCH_EXACT,77572257200051,HIGH,AMBIGUOUS,34270750200130,TOP1_WRONG,ASSOCIATION_VS_SAS_COLOCATED,https://arras.cesi.fr/wp-content/uploads/sites/7/2025/05/CESI_Collecte_TA_avril2025_arras_ppp.pdf
19,4692,MATCH_EXACT,13002442500600,HIGH,AMBIGUOUS,13002442500600,TOP1_CORRECT_REVIEWED,STALE_CROUS_LEGAL_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/13002442500600
20,4720,MATCH_EXACT,39000406700034,HIGH,AMBIGUOUS,39000406700034,TOP1_CORRECT_REVIEWED,FALSE_AMBIGUOUS_LABEL,https://www.mbcdistribution.fr/presentation
21,4759,MATCH_EXACT,52503152200713,HIGH,AMBIGUOUS,52503152200713,TOP1_CORRECT_REVIEWED,ADDRESS_SUFFIX_VARIATION,https://www.fidal.com/nos-implantations/normandie/caen
22,4769,MATCH_EXACT,78980027300011,HIGH,AMBIGUOUS,78980027300011,TOP1_CORRECT_REVIEWED,STALE_PREDECESSOR,https://www.ibc-dialog.fr/mentions-legales
23,5020,MATCH_EXACT,78071394700015,HIGH,AMBIGUOUS,83435639600012,TOP1_WRONG,INSTITUTE_ASSOCIATION_VS_CFC_COLOCATED,https://institut-lemonnier.fr/mentions-legales/
24,5052,AMBIGUOUS,,HIGH,AMBIGUOUS,77568013500321,CORRECT_REVIEW,MULTIPLE_PROMOTRANS_ENTITIES_COLOCATED,https://www.promotrans.fr/mentions-legales/
25,5139,MATCH_EXACT,77567227232127,HIGH,MATCH_EXACT,77567227232127,TOP1_CORRECT_REVIEWED,ACCEPTOR_OVER_ABSTENTION,https://www.croix-rouge.fr/site-de-formation-croix-rouge-competence-de-calais
